id,Артикул,Название,missing_fields,Ссылка
126898,1207-5182,П ФИГУРА 6 Радуга Бохо,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/p-figura-6-raduga-bokho-1207-5182/
127195,1207-5230,К ФИГУРА Фиксики Нолик,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-fiksiki-nolik-1207-5230/
127196,1207-5231,К ФИГУРА Фиксики Симка,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-fiksiki-simka-1207-5231/
127313,1207-5240,К ФИГУРА Мишка мармеладный,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-mishka-marmeladnyi-1207-5240/
127333,1207-5242,К ФИГУРА Лев в джунглях,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-lion-1207-5242/
127334,1207-5243,К ФИГУРА Овечка бело-серая,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-sheep-1-1207-5243/
127335,1207-5244,К ФИГУРА Овечка розовая,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-sheep-rose-1207-5244/
127336,1207-5245,К ФИГУРА Овечка белая,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-sheep-white-1207-5245/
127338,1207-5247,К ФИГУРА Заяц белый с ушком,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-rabbit-white-1207-5247/
127339,1207-5248,К ФИГУРА Заяц белый с морковкой,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-rabbit-and-carrot-1207-5248/
127340,1207-5249,К ФИГУРА Заяц цветочный ободок розовый,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bunny-pink-1207-5249/
127341,1207-5250,К ФИГУРА Заяц цветочный ободок голубой,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bunny-blue-1207-5250/
127342,1207-5251,К ФИГУРА Заяц цветочный ободок белый,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bunny-white-1207-5251/
127343,1207-5252,К ФИГУРА Котенок с цветком,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-kitty-1207-5252/
127344,1207-5253,К ФИГУРА Заяц сиреневый,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bunny-purple-1207-5253/
127348,1207-5257,К ФИГУРА Мишка удивленный,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bear-1207-5257/
127352,1207-5261,К ФИГУРА Машина джип красный,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-red-car-1207-5261/
127353,1207-5262,К ФИГУРА Машина ретро красная,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-red-retro-car-1207-5262/
127356,1207-5265,К ФИГУРА Кексик бирюзовый,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-cake-1207-5265/
127357,1207-5266,К ФИГУРА Человек-Паук Spider,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-spider-man-1207-5266/
127359,1207-5268,К ФИГУРА Мышка Маус девочка,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-mause-girl-1207-5268/
127360,1207-5269,К ФИГУРА Мышка Маус мальчик,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-mause-boy-1207-5269/
127363,1207-5272,К ФИГУРА Паук черный,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-spider-black-1207-5272/
127364,1207-5273,К ФИГУРА Мышь летучая черная,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bat-black-1207-5273/
127368,1207-5277,К ФИГУРА Мумия,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-mummy-1207-5277/
127369,1207-5278,К ФИГУРА Монстрик девочка,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-monstr-violet-1207-5278/
